first_name,last_name,street,city,state,zipcode,day,month,year
Cecile,Biskupski,55101 Crowley Avenue,Newark,Delaware,19725,22,11,1971
Brigit,Cinnamond,125 Graedel Center,Tampa,Florida,33694,14,12,1972
Griz,Syder,81437 Farwell Place,Dallas,Texas,75241,16,11,1937
Cash,McGrotty,3583 Hansons Alley,Tampa,Florida,33620,14,5,1975
Becki,Barnes,5 Redwing Crossing,Albuquerque,New Mexico,87105,6,7,1907
Alexio,Crookall,5 Tennessee Junction,New York City,New York,10270,8,8,2013
Karrie,Bore,6 Claremont Avenue,Jamaica,New York,11436,18,11,1989
Dore,Peirpoint,06412 Luster Avenue,Madison,Wisconsin,53705,2,5,2010
Arlette,Schurcke,37 Kropf Point,Washington,District of Columbia,20205,10,10,1943
Lidia,Jandac,05 Carey Parkway,Bronx,New York,10469,7,9,1948
Bride,Saintpierre,899 Texas Center,New Orleans,Louisiana,70154,9,2,1911
Adah,Gatesman,6243 Washington Avenue,Oklahoma City,Oklahoma,73179,19,1,1977
Massimo,Jackalin,06543 Independence Lane,Dallas,Texas,75387,18,4,1992
Yulma,Gethin,499 Hoard Hill,Garden Grove,California,92645,10,7,1962
Brendin,Heis,0 School Junction,Pasadena,Texas,77505,8,2,1987
Gilburt,Sutworth,27099 Loftsgordon Hill,Seattle,Washington,98175,27,8,1987
Loreen,Pavinese,10 Lawn Hill,Kansas City,Missouri,64187,4,5,1918
Anton,Ashington,92654 Autumn Leaf Road,Houston,Texas,77025,25,6,2002
Josephine,Loseby,26811 Hoepker Drive,Pasadena,California,91103,5,4,1956
Helen-elizabeth,Willcot,36650 Fallview Center,Toledo,Ohio,43635,27,11,1911
Alphonso,Calam,877 Vidon Trail,Saint Petersburg,Florida,33705,20,11,1927
Jimmy,Ashbridge,007 Village Terrace,Shreveport,Louisiana,71166,15,3,1935
Flory,McGrae,277 Village Green Drive,Odessa,Texas,79769,12,10,1925
Zebedee,Fearnside,9989 Everett Center,Dallas,Texas,75358,26,4,1968
Dorry,Fant,513 Banding Avenue,San Bernardino,California,92424,14,5,2008
Robbie,Fauguel,0 Gateway Court,Kent,Washington,98042,13,12,1993
Anabal,Doull,205 Eagle Crest Parkway,Edmond,Oklahoma,73034,1,2,2008
Dani,Gilliat,9 Harper Crossing,Durham,North Carolina,27710,20,8,1907
Milka,Fissenden,0712 Kennedy Center,Corpus Christi,Texas,78410,9,6,1966
Sayres,Neesam,80 Packers Park,Atlanta,Georgia,31136,3,4,1971
Nanette,Storch,52 Granby Lane,Charlotte,North Carolina,28220,27,10,1976
Waylon,Blurton,55850 Huxley Plaza,Louisville,Kentucky,40250,7,6,1983
Selig,Geerdts,189 Old Shore Trail,Washington,District of Columbia,20503,2,4,1980
Abey,Folks,678 Loeprich Road,Wilmington,Delaware,19886,9,1,1940
Harli,Tallon,7 Del Sol Point,Scottsdale,Arizona,85260,27,12,1976
Cornelia,Southeran,9 Division Plaza,San Jose,California,95173,11,10,1933
Stacy,Jindra,47627 Dwight Court,Birmingham,Alabama,35236,24,10,2010
Hamilton,Rowntree,066 Hansons Junction,Saint Louis,Missouri,63131,9,4,1922
Jon,Tailby,9 Jana Drive,Oklahoma City,Oklahoma,73124,6,10,1950
Hestia,Wrightem,65 4th Alley,Chicago,Illinois,60674,11,4,1905
Simonette,Berzon,54348 Atwood Crossing,Topeka,Kansas,66629,23,6,2006
Pembroke,Wynne,985 Twin Pines Street,New York City,New York,10079,3,5,1929
Kathleen,Leeburne,08365 Dawn Hill,Syracuse,New York,13251,21,11,1970
Barret,Bysaker,46 Dapin Trail,Washington,District of Columbia,20215,12,3,1994
Carlyle,Dearden,8 Ridgeway Crossing,Kansas City,Missouri,64153,14,6,2013
Mahmud,Kellegher,62 Erie Plaza,Houston,Texas,77234,2,1,2019
Elvira,Gardener,2110 Artisan Hill,Carol Stream,Illinois,60351,24,9,1953
Francois,Thonason,62859 Morning Hill,Austin,Texas,78764,22,1,1944
Nickey,Learned,0 Division Avenue,Knoxville,Tennessee,37924,27,6,2011
Sondra,Brownett,23608 American Ash Pass,Everett,Washington,98206,26,5,1917
Carilyn,Saunier,2 Onsgard Circle,Fort Collins,Colorado,80525,24,4,1956
Sydelle,Quarrington,58 Garrison Alley,Sacramento,California,94250,10,9,1924
Jenna,Macquire,2 Cordelia Lane,Winston Salem,North Carolina,27157,5,5,1984
Tracey,Goncaves,70 Canary Court,Shreveport,Louisiana,71151,14,11,1908
Karla,Chambers,4 Nevada Terrace,Clearwater,Florida,34615,16,3,2015
Lianna,Shoebottom,4 Farwell Point,New York City,New York,10045,10,9,1958
Kris,Lodevick,54045 Kensington Junction,Boise,Idaho,83705,5,5,2006
Caitrin,Vasyagin,72 Warrior Parkway,Gary,Indiana,46406,28,1,2011
Jermayne,Robardet,5240 Homewood Terrace,Texarkana,Texas,75507,24,7,2013
Carmencita,Lalor,656 Green Center,Boston,Massachusetts,02216,25,5,1948
Brenden,Leivesley,5 Barnett Hill,Columbus,Ohio,43231,20,7,2008
Symon,Bedboro,53570 Hazelcrest Way,Raleigh,North Carolina,27615,10,6,2014
Marcia,O'Lehane,4 Northfield Terrace,Mobile,Alabama,36689,17,10,2007
Tarah,Barney,77653 Elka Street,Sacramento,California,94245,10,6,1963
Federico,Fawks,75242 Bobwhite Place,Los Angeles,California,90101,16,4,1916
Bella,Anten,81175 Manitowish Drive,Clearwater,Florida,33758,4,10,1921
Violetta,Rolf,5611 Crest Line Street,Washington,District of Columbia,20226,10,2,1964
Brier,Northidge,496 Commercial Alley,Columbus,Ohio,43240,24,11,1904
Ambrosius,Fanning,7559 Little Fleur Circle,Bakersfield,California,93305,1,8,1915
Leoine,Maty,7396 Union Place,Norfolk,Virginia,23504,20,7,2013
Mateo,Brody,907 Crest Line Avenue,Dallas,Texas,75277,17,6,1903
Husain,Kadwallider,122 Graceland Court,Charlotte,North Carolina,28215,24,8,1926
Afton,Pampling,18 Dwight Trail,Des Moines,Iowa,50335,19,7,1994
Marlyn,Welton,7 Weeping Birch Point,Norwalk,Connecticut,06859,15,1,1993
Crista,Grimes,915 Graceland Hill,San Antonio,Texas,78210,25,2,1940
Karrie,Bullion,42381 Sommers Alley,Muncie,Indiana,47306,6,3,1954
Meredithe,Fowlie,4 Valley Edge Terrace,Washington,District of Columbia,20566,24,2,2007
Kelila,Dilley,97680 Warner Junction,Alexandria,Virginia,22309,22,6,1982
Margo,Caghan,9223 Vermont Terrace,Houston,Texas,77040,21,6,2004
Audie,Ellul,19 Jenifer Crossing,Elmira,New York,14905,4,10,2017
Brandi,Cant,0731 Oak Valley Place,Albany,Georgia,31704,11,4,1947
Eamon,Libero,4 Holy Cross Pass,Humble,Texas,77346,21,8,1911
Caitlin,Tranmer,75266 Superior Circle,Boise,Idaho,83722,10,3,1944
Randi,Simenel,960 Moland Alley,Austin,Texas,78703,3,5,1957
Ericka,Dahlback,56 Birchwood Trail,Oklahoma City,Oklahoma,73109,18,10,1951
Flinn,Franke,2 Drewry Parkway,Columbus,Georgia,31904,4,5,1934
Rick,Binion,7 Maywood Point,Escondido,California,92030,16,3,1983
Abe,Fossett,4091 Westend Pass,Jackson,Mississippi,39216,3,6,1921
Gianina,Morch,9 Brown Crossing,Jacksonville,Florida,32230,6,10,1958
Joanne,Osgarby,2 Utah Terrace,Davenport,Iowa,52809,19,6,2012
Raven,Brazer,73 Old Gate Park,Abilene,Texas,79605,8,4,2015
Eddi,Waliszewski,97254 Hagan Plaza,El Paso,Texas,88535,14,11,1953
Brendan,Pitkin,72 6th Court,Washington,District of Columbia,20580,9,4,1914
Byron,Sesons,21 Harper Hill,Lynn,Massachusetts,01905,15,1,1938
Krissy,Dollar,7 Dakota Street,Des Moines,Iowa,50330,24,4,2009
Jamesy,Segrott,8442 Armistice Pass,Nashville,Tennessee,37250,23,6,2005
Cherise,Dunkinson,16400 Prentice Center,Shawnee Mission,Kansas,66225,21,8,1973
Carey,Oxborrow,2 Schmedeman Terrace,Harrisburg,Pennsylvania,17126,25,3,1983
Chrysa,Riddall,82 Lakewood Gardens Terrace,Kansas City,Missouri,64179,26,8,1991
Mace,Philippard,99 Brickson Park Circle,Tampa,Florida,33615,14,4,1970
Gwyn,Gamblin,172 Stone Corner Parkway,Roanoke,Virginia,24029,14,6,1953
Fifi,Farr,863 Milwaukee Trail,San Antonio,Texas,78255,12,6,1925
Vidovik,O' Hanvey,945 Almo Trail,Austin,Texas,78710,24,4,1967
Gerik,Blesing,004 Rockefeller Terrace,Philadelphia,Pennsylvania,19178,13,1,1955
Perren,Kenneford,5 Roth Lane,Toledo,Ohio,43610,22,4,2000
Bev,Briston,8289 Chive Crossing,Fredericksburg,Virginia,22405,26,5,1934
Quintilla,Kissock,9 Iowa Hill,Madison,Wisconsin,53716,8,12,1930
Peterus,Stockney,3583 Lake View Crossing,North Las Vegas,Nevada,89087,28,4,1912
Orlando,Muggleton,90657 Karstens Trail,Atlanta,Georgia,30351,9,11,2017
Hilda,Kacheler,47535 Namekagon Hill,Akron,Ohio,44305,25,7,1976
Fairfax,Tansill,9 Gerald Pass,Boston,Massachusetts,02124,2,12,1951
Janis,Rosbottom,24700 Gateway Drive,Charleston,South Carolina,29403,16,8,1902
Edsel,Gossage,2 Jenifer Trail,Seattle,Washington,98166,4,8,1959
Tedra,Basketter,8 Logan Center,Des Moines,Iowa,50335,23,6,1988
Emerson,Lagden,07609 Atwood Avenue,Sacramento,California,94286,26,3,2017
Hugues,Wilcott,93371 Briar Crest Plaza,Buffalo,New York,14210,8,3,1901
Selena,Pogosian,80 Evergreen Drive,Saint Paul,Minnesota,55188,12,5,1971
Lilah,Hilary,49007 Delladonna Street,Phoenix,Arizona,85083,22,3,1961
Miriam,Healy,6939 Truax Circle,Tacoma,Washington,98405,16,6,1931
Rena,Macrow,663 Hazelcrest Avenue,Anderson,Indiana,46015,18,12,1992
Carolynn,Dulany,8 Schiller Place,San Antonio,Texas,78235,7,5,2004
Aurilia,Bundy,505 Sloan Terrace,Atlanta,Georgia,30351,13,12,1971
Amelie,Viner,15288 Bartelt Junction,Flint,Michigan,48550,24,8,1977
Willey,Shutt,61 Kennedy Pass,Cincinnati,Ohio,45218,1,11,1915
Brenn,Drewett,3 Golf Pass,Richmond,Virginia,23285,21,7,1926
Aloysia,Sigmund,3101 Waywood Pass,Harrisburg,Pennsylvania,17121,7,9,1923
Marjie,Ankers,0369 Garrison Plaza,Sacramento,California,95852,13,8,1991
Faun,Swate,4224 Pierstorff Terrace,Washington,District of Columbia,20244,21,3,1958
Sheba,Gallico,0 Carey Junction,Lansing,Michigan,48930,14,9,1902
Kristoffer,Polleye,088 Darwin Lane,Elmira,New York,14905,9,9,1911
Karina,Penhale,4 Morning Terrace,Pompano Beach,Florida,33075,20,1,1914
Gizela,Elman,7815 Mcbride Junction,Charlotte,North Carolina,28272,13,1,1967
Grissel,Connealy,30 Messerschmidt Parkway,Houston,Texas,77035,24,7,1943
Dolph,Badrick,738 Division Street,Pittsburgh,Pennsylvania,15266,23,6,1955
Marieann,Capron,384 Autumn Leaf Terrace,New York City,New York,10099,6,1,1936
Gisella,Earp,98 Lakewood Place,Gainesville,Florida,32605,7,8,1993
Norma,Vergine,76 Red Cloud Hill,Chicago,Illinois,60646,8,5,1924
Theo,Woolnough,34173 Loftsgordon Way,Mesa,Arizona,85205,3,12,1985
Emmalynne,Abazi,91705 Bonner Park,Daytona Beach,Florida,32128,13,3,1995
Vivie,Minchinton,4798 Paget Road,Chattanooga,Tennessee,37450,23,12,1998
Ulrich,Yacob,6827 Oneill Alley,Albany,New York,12247,21,1,1912
Asa,Rospars,293 Spohn Trail,Salt Lake City,Utah,84199,4,5,1919
Mario,Fansy,31 Bluestem Road,Mobile,Alabama,36605,21,6,1967
Janette,Coplestone,3274 Comanche Avenue,San Antonio,Texas,78250,11,10,1933
Staford,Lardier,11 Melby Street,Topeka,Kansas,66606,18,8,1916
Benito,Carter,79 Warrior Alley,Long Beach,California,90847,14,4,1939
Andy,Fisbey,87163 Vermont Lane,Miami,Florida,33233,5,9,2013
Rene,Bindin,3030 Clemons Pass,New York City,New York,10019,20,11,1969
Marysa,Carous,18 Manitowish Way,Pensacola,Florida,32505,13,7,2001
Danielle,Lippiello,501 Prentice Avenue,Camden,New Jersey,08104,23,9,1990
Benetta,Fanthom,5920 Vahlen Court,Philadelphia,Pennsylvania,19109,4,8,1964
Etheline,Johann,74967 5th Lane,Naples,Florida,33963,19,3,1927
Sonja,Grise,72623 Fisk Circle,Denver,Colorado,80204,10,11,2019
Carolyn,Parkes,60519 Amoth Plaza,Dallas,Texas,75210,24,11,1947
Rosalinde,Baroc,4 Evergreen Drive,Columbus,Ohio,43268,18,7,1989
Sigfrid,Timmes,89 Lighthouse Bay Plaza,New Haven,Connecticut,06505,3,11,1954
Halley,Spong,0 Vera Pass,Daytona Beach,Florida,32123,4,2,1934
Mycah,Campsall,63 Prairie Rose Crossing,New Orleans,Louisiana,70179,6,2,2002
Jerrie,Alker,88 Delladonna Trail,Fresno,California,93704,8,6,1963
Marwin,Clarridge,2 Everett Alley,Houston,Texas,77035,24,12,1996
Franklyn,Mackin,19 Manitowish Road,Honolulu,Hawaii,96810,25,11,1955
Jacquelynn,Dunstone,34071 Dwight Park,San Francisco,California,94132,14,9,1969
Konstantin,Smooth,4 Atwood Junction,Wichita Falls,Texas,76310,25,12,1999
Harland,O'Dreain,00602 Delladonna Circle,Mountain View,California,94042,11,3,1938
Ivie,Lingfoot,73 Sugar Point,Alexandria,Virginia,22301,21,11,1977
Suzann,Choffin,4 Brickson Park Place,Richmond,Virginia,23237,28,2,2017
Krispin,Crossingham,5 8th Avenue,Orlando,Florida,32825,10,3,1963
Dyane,Bertlin,413 Quincy Hill,Kansas City,Missouri,64114,5,12,1977
Farly,Bownass,123 Bultman Way,San Antonio,Texas,78285,6,4,1950
Cally,Weatherhill,1 Sullivan Pass,Los Angeles,California,90076,21,2,1990
Elaine,Bissex,589 Veith Avenue,Canton,Ohio,44710,18,9,1910
Cornela,Polet,0952 Old Shore Terrace,Lexington,Kentucky,40524,23,4,1922
Nichols,Winborn,09 Ridgeview Way,Charlottesville,Virginia,22903,12,5,1900
Ediva,Pennuzzi,27295 Milwaukee Drive,Norfolk,Virginia,23520,24,6,1943
Shell,McAdam,942 3rd Hill,Albany,New York,12242,20,4,1950
Pernell,McAlester,99 Sachs Terrace,Columbus,Georgia,31998,19,8,1927
Garrik,Northgraves,18 Waywood Pass,Lansing,Michigan,48930,2,5,1903
August,Austing,67 Anderson Point,Cincinnati,Ohio,45208,20,6,1917
Ingunna,O'Grady,20130 Stone Corner Plaza,Milwaukee,Wisconsin,53215,18,12,2007
Abbye,Nower,9006 Sommers Point,Metairie,Louisiana,70033,6,7,1919
Margy,Creamen,786 Sheridan Court,Sioux Falls,South Dakota,57188,12,5,1929
Jonis,Poure,94 Anthes Place,Mesquite,Texas,75185,28,6,1994
Bev,Garraway,06 Brentwood Drive,Irvine,California,92710,20,6,1981
Johann,Simka,304 Sage Point,Silver Spring,Maryland,20918,15,1,1947
Bone,Tunny,1512 Golf Court,Hattiesburg,Mississippi,39404,11,12,1970
Teddy,MacDonell,4 East Parkway,Kansas City,Kansas,66105,27,2,1943
Laughton,Lukasik,6754 Mosinee Pass,Philadelphia,Pennsylvania,19104,6,6,1979
Annabela,Coull,3 Lake View Terrace,Charlotte,North Carolina,28263,4,5,1994
Arley,Elsegood,3 Rusk Plaza,Washington,District of Columbia,20525,2,3,1902
Amerigo,Ritmeier,652 Scott Way,San Bernardino,California,92424,6,8,1938
Annette,Willwood,030 Dixon Road,Saint Petersburg,Florida,33715,8,10,1917
Erika,Caser,95347 Sutherland Road,Houston,Texas,77060,1,6,1962
Afton,Giovanni,0949 Longview Pass,Phoenix,Arizona,85083,16,12,2010
Osbourne,Chittim,82702 Algoma Road,Tallahassee,Florida,32309,27,3,1943
Jeffry,Woolhouse,374 Sycamore Place,Omaha,Nebraska,68197,17,1,1973
Juliann,Kent,2 Kinsman Way,Sacramento,California,94280,17,10,1943
Jolyn,MacCaughey,7 Parkside Place,El Paso,Texas,79977,4,11,1902
Merle,Garrod,20921 Morningstar Trail,Atlanta,Georgia,30343,28,10,1953
Kalli,Isakson,41667 Cottonwood Place,San Antonio,Texas,78296,18,12,1906
Kara-lynn,Turnpenny,20 David Trail,New York City,New York,10029,15,3,1974
Arnold,Bridgnell,82025 Russell Point,Rockford,Illinois,61110,26,10,1997
Ellary,Gouch,86409 Hollow Ridge Terrace,New York City,New York,10060,17,3,1936
Marsiella,Cleverley,6837 Buell Trail,San Jose,California,95173,11,3,1938
Jean,Avarne,52118 Knutson Place,Baltimore,Maryland,21290,25,10,1950
Eugenio,Strevens,5857 Carpenter Plaza,New Orleans,Louisiana,70187,27,10,1995
Blondie,Trayling,72874 Arizona Parkway,Dayton,Ohio,45403,19,10,1918
Layla,Serraillier,83960 Melrose Way,Madison,Wisconsin,53790,1,3,1927
Peter,Holmyard,4120 Killdeer Road,Wichita Falls,Texas,76305,22,3,2013
Kenna,Dubique,9 Arkansas Terrace,Albany,New York,12232,24,3,1941
Arvin,Box,31658 5th Hill,Fort Lauderdale,Florida,33310,17,11,1942
Brok,Hacket,025 Sheridan Crossing,Littleton,Colorado,80126,1,10,1988
Torr,Brunon,9561 Twin Pines Avenue,Pittsburgh,Pennsylvania,15286,7,7,1914
Egbert,Auston,8 Badeau Alley,New Orleans,Louisiana,70149,25,1,1979
Hendrik,Lavigne,83 Heath Way,Terre Haute,Indiana,47812,17,2,1990
Mal,Squibbes,0 Eagan Lane,Cleveland,Ohio,44125,3,7,1947
Averill,Gutsell,2 Eastwood Alley,Omaha,Nebraska,68105,21,8,1937
Axel,Bartolacci,5 Roth Plaza,Boca Raton,Florida,33487,10,4,1913
Sibel,Wraggs,2 Gale Junction,Fort Wayne,Indiana,46857,22,11,1919
Rubie,Vanes,29 Mockingbird Trail,Houston,Texas,77240,4,11,1986
Fredra,Yakushkin,7 Fieldstone Hill,Birmingham,Alabama,35220,9,2,1934
Adelheid,Hilbourne,14346 Sheridan Pass,Eugene,Oregon,97405,14,2,2013
Ad,Mattheissen,3129 Ryan Crossing,Arlington,Virginia,22217,16,7,1913
Aile,Millhouse,048 Erie Avenue,Anchorage,Alaska,99599,4,8,1985
Morgun,McFeat,98927 Monica Crossing,Sioux City,Iowa,51105,17,6,2006
Thorstein,Cruddace,33188 Artisan Point,San Francisco,California,94159,28,3,1980
Reinaldo,Denny,3 Thackeray Park,Tacoma,Washington,98424,3,8,1954
Angelina,Liepins,7218 Hollow Ridge Trail,Santa Ana,California,92705,23,11,2000
Theresina,Titman,15319 8th Circle,Boulder,Colorado,80305,7,4,1983
Gabriele,Wisniowski,21427 Doe Crossing Road,Houston,Texas,77255,15,1,1942
Jolene,Mawman,32812 Forest Plaza,Elizabeth,New Jersey,07208,6,6,1993
Aloysia,Castard,872 Grasskamp Place,Atlanta,Georgia,31196,7,3,2019
Lucine,Arndtsen,96 Huxley Lane,Omaha,Nebraska,68197,23,8,1903
Winne,Cotilard,99 Hagan Way,Richmond,Virginia,23203,27,9,2012
Colas,Bertin,0840 Meadow Vale Trail,Roanoke,Virginia,24029,24,1,1909
Alli,London,3 New Castle Road,Atlanta,Georgia,30343,28,2,1915
Ingmar,Trayes,7 Muir Center,Portland,Oregon,97229,20,3,1996
Carey,Lathwell,5263 Elmside Avenue,Austin,Texas,78769,12,12,1960
Rudyard,Bourrel,02 Rieder Street,Sterling,Virginia,20167,11,1,2003
Deerdre,Ivanchikov,5555 Melrose Avenue,Spring Hill,Florida,34611,14,9,1967
Kearney,Bullcock,44494 Leroy Drive,Fort Lauderdale,Florida,33330,5,7,1998
Torey,Little,9711 Sage Alley,Brooklyn,New York,11225,8,1,1975
Reinaldos,Fourcade,4142 Forest Pass,Dearborn,Michigan,48126,6,2,1904
Tandi,Chessil,272 Elgar Parkway,Denver,Colorado,80255,3,4,1917
Georgy,Lintot,1370 Alpine Place,Washington,District of Columbia,20599,28,3,1921
Perren,Padginton,4070 Hanson Parkway,Orlando,Florida,32813,10,10,1998
Velma,Drewe,5 Ridge Oak Pass,Atlanta,Georgia,30356,20,11,1992
Nikola,Bly,0432 Hollow Ridge Avenue,Miami,Florida,33158,5,8,2014
Lindsey,Broscombe,0 Melby Trail,Akron,Ohio,44321,8,12,1920
Dani,Duferie,8829 Autumn Leaf Terrace,Lehigh Acres,Florida,33972,22,9,2007
Amber,Abel,15612 Sheridan Plaza,Los Angeles,California,90005,9,12,1912
Royce,Edmonds,445 Hovde Way,Alexandria,Virginia,22309,6,9,1951
Dulsea,Tomaszynski,95680 Del Mar Place,Fort Lauderdale,Florida,33320,23,9,1997
Kayne,Bradder,7081 Monument Hill,Cheyenne,Wyoming,82007,25,1,1951
Pippa,Worsam,7218 Bowman Circle,Charlotte,North Carolina,28230,16,2,1904
Base,Le-Good,6764 Summit Parkway,San Jose,California,95133,21,11,1938
Wynnie,Hammatt,77 Troy Court,Little Rock,Arkansas,72222,15,3,2001
Marsha,Casterou,3305 Schiller Alley,Utica,New York,13505,9,2,1921
Tommy,Blackler,59934 International Crossing,San Jose,California,95113,11,6,1901
Madelin,MacQueen,061 Messerschmidt Court,Houston,Texas,77299,28,10,1966
Jillene,Barrus,55 Golf Terrace,Dallas,Texas,75397,15,2,2008
Lauri,Neild,29 Eagan Trail,West Hartford,Connecticut,06127,22,10,1953
Colas,Bruck,4 Monica Street,Los Angeles,California,90010,25,2,1959
Bobbi,Alcide,459 Vera Point,Houston,Texas,77299,18,8,2006
Allx,Seden,21390 Village Green Center,San Diego,California,92191,27,1,1959
Traci,Lindegard,0511 Monterey Junction,Saint Louis,Missouri,63136,23,4,2006
Brewster,Astall,20 Prairieview Parkway,West Palm Beach,Florida,33405,26,5,1942
Cecilia,Putton,3530 Mcbride Road,Brockton,Massachusetts,02405,19,2,1978
Haslett,Hawke,9 Vernon Trail,Birmingham,Alabama,35263,19,4,1941
